date,count,Long,Lat,place,remarks,user
2021/7/13,1,33.6501548,130.4238549,城浜団地,市民が駆除,東区生活環境課
2021/11/16,0,33.6155932,130.4043468,食肉市場,,農林水産局市場課
2021/11/26,1,33.6161522,130.4072584,水産加工センター,殺虫剤で駆除,農林水産局水産振興課
2021/11/15,0,33.6504091,130.3520517,西戸崎公民館,,東区地域支援課
2021/11/17,0,33.5806516,130.3575007,西戸崎小学校,,"西戸崎小学校
教育委員会健康教育課"
2021/11/15,0,33.6532841,130.3501876,西新自転車保管所,,早良区生活環境課
2021/11/20,0,入力パラメータが不正です。,,西部リサイクルプラザ,,"環境局
家庭ごみ減量推進課"
2021/4/10,0,33.5658791,130.2949415,西部運動公園,,住宅都市局みどり運営課
2021/4/21,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/5/6,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/5/17,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/6/12,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/6/23,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/7/8,1,33.5448772,130.3184638,西部運動公園,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/25,0,33.5448772,130.3184638,西部運動公園,,住宅都市局みどり運営課
2021/11/30,1,33.5448772,130.3184638,西部水処理センター,殺虫剤で駆除,道路下水道局 西部水処理センター
2021/8/13,12,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/8/27,25,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/9/16,7,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/9/24,24,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/10/15,3,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/5/25,2,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/6/12,1,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/6/25,22,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/7/12,9,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/7/27,22,33.6678677,130.4113545,青果市場,殺虫剤及び踏み潰して駆除,農林水産局青果市場
2021/8/9,25,33.6448126,130.4632121,青葉公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/8/23,35,33.6476634,130.4609822,青葉公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/16,40,33.6476634,130.4609822,青葉公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/25,40,33.6476634,130.4609822,青葉公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
